,Class_1,Class_10,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,chi2,P,df
46 ~ 50,2.0,4.0,0,3.0,4.0,0.0,1.0,5.0,2.0,0.0,36.130764750207554,0.11247018184360129,27
51 ~ 55,2.0,4.0,0,2.0,8.0,4.0,1.0,5.0,9.0,2.0,36.130764750207554,0.11247018184360129,27
66 ~ 70,4.0,5.0,2,10.0,19.0,9.0,1.0,3.0,16.0,6.0,36.130764750207554,0.11247018184360129,27
71 ~ 75,3.0,5.0,0,7.0,20.0,3.0,0.0,2.0,16.0,0.0,36.130764750207554,0.11247018184360129,27
