,Class_1,Class_10,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,chi2,P,df
N0,5.0,11.0,2.0,13.0,24.0,4.0,4.0,11.0,18.0,0,14.20507969113155,0.11521487210579429,9
N1,4.0,5.0,2.0,10.0,19.0,9.0,1.0,5.0,16.0,6,14.20507969113155,0.11521487210579429,9
