,Class_1,Class_10,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,chi2,P,df
101 ~ 110,3.0,5.0,0.0,7.0,20.0,3.0,0.0,2.0,16.0,0.0,67.15631346651003,2.827307430096948e-05,27
71 ~ 80,5.0,10.0,0.0,5.0,18.0,6.0,3.0,12.0,18.0,5.0,67.15631346651003,2.827307430096948e-05,27
81 ~ 90,3.0,3.0,2.0,10.0,13.0,7.0,0.0,3.0,9.0,3.0,67.15631346651003,2.827307430096948e-05,27
91 ~ 100,0.0,2.0,2.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,67.15631346651003,2.827307430096948e-05,27
