,Class_1,Class_10,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,chi2,P,df
M0,3.0,5.0,0,7.0,20.0,3.0,0,2.0,16.0,0,11.83446674812965,0.22280298542490343,9
M1,8.0,13.0,2,15.0,31.0,13.0,3,13.0,27.0,8,11.83446674812965,0.22280298542490343,9
