,Class_1,Class_10,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,chi2,P,df
T1,3.0,5.0,0,7.0,20.0,3.0,0,2.0,16.0,0,35.67008230959735,0.007775021974711025,18
T2,5.0,7.0,2,12.0,21.0,11.0,1,6.0,18.0,5,35.67008230959735,0.007775021974711025,18
T3,3.0,8.0,2,6.0,10.0,3.0,5,13.0,9.0,3,35.67008230959735,0.007775021974711025,18
